,dataset,method,fitness_rule,fitness,ACC,MCC,avg_odds_diff,stat_par_diff,eq_opp_diff
224,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.3602827149562798,0.8315091210613599,0.509377850270907,0.1086783410031109,0.1643101511690132,0.1490951353146272
225,adult_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.7611226111319626,0.7644002211166391,0.0903089477609957,0.004427152289597,0.0032776099846765,0.0088543045791941
226,adult_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.7546335226491167,0.7594250967385295,0.1334763238597918,0.0047915740894128,0.0060456416011971,0.0092076318438651
227,adult_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.7525726458652439,0.7611940298507462,0.1131497296570759,0.0043106919927511,0.0045299145299145,0.0086213839855023
228,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.3426327029534572,0.8966874385044277,0.4079610711006372,0.0436047862006727,0.0653283681471799,0.0311173974540311
229,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.2827463381954169,0.8953755329616268,0.398948609304114,0.1162022711086971,0.0996252862038133,0.2214149801072479
230,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.2100599786026014,0.8938996392259757,0.4066586180583837,0.1051019034276818,0.057715733773109,0.1965986394557823
231,bank_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.8130017157813063,0.8952115447687766,0.4265902255308632,0.0328728988317764,0.0822098289874703,0.0087482806052269
232,bank_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.7923657581429516,0.8940636274188258,0.4200066944373284,0.1016978692758742,0.0832751304870264,0.1587321113708123
233,bank_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.8868129369602809,0.8917677927189243,0.3791686374437432,0.0232372945524293,0.0618900959706623,0.0049548557586434
234,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.1423783387090239,0.6847649918962723,0.3529574268035918,0.1782845060118199,0.2105790880945679,0.0960729312762973
235,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.1696577468694505,0.6507293354943274,0.2769575514747746,0.107299804605324,0.1105135358093355,0.0349808408822023
236,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.1885203748639492,0.6239870340356564,0.2382682487256186,0.077042972084163,0.087182276162125,0.0497478738616693
237,compas_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.5098340554708171,0.6596434359805511,0.3141793869888576,0.1379305466457661,0.149809380509734,0.0745056716047852
238,compas_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.5191438646860893,0.6393841166936791,0.275000049576588,0.1202402520075898,0.1358823804076296,0.0495450495450495
239,compas_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.5874083915725734,0.6547811993517018,0.2881237231120861,0.0849841897756243,0.1034909586681974,0.0673728077791283
240,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.3218913440780384,0.8195688225538972,0.4787952821238449,0.0793622666851555,0.1569039380458065,0.0856063444486074
241,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.4244689168586926,0.8352681039248203,0.5206718186571705,0.0962029017984779,0.1640692677927864,0.1265847365938913
242,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.3879104221707489,0.8410171365395246,0.5288524511562561,0.1020993429226924,0.158852304685638,0.1409420289855071
243,adult_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.7483692647871752,0.7483692647871752,0.0,0.0,0.0,0.0
244,adult_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.7653542448634109,0.7795467108899945,0.2484133930366658,0.0141924660265835,0.0197381219603441,0.0271301437314596
245,adult_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.7370884012274377,0.7536760641238254,0.1137866612315671,0.0082938314481938,0.0058537106418827,0.0165876628963877
246,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.4153851374572228,0.8998032141685799,0.4426741627808394,0.0100980505878371,0.0272890253236165,0.0154756117322962
247,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.3384836878688118,0.8958674975401771,0.4026033586645687,0.0641196707957569,0.0706638879501332,0.0953058321479374
248,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.4117690182318719,0.8935716628402754,0.4154169890481053,0.0076085208860425,0.0393743612937576,0.0036479708162334
249,bank_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.7986778145503293,0.894227615611676,0.4333155769107464,0.0589377828260078,0.0955498010613466,0.0899524000688191
250,bank_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.8218693290020289,0.8968514266972778,0.4439574067418992,0.0749820976952488,0.0822541703789872,0.1067385444743935
251,bank_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.8411443950521227,0.8884880288619219,0.3923554768755853,0.0330459547436389,0.0626572355058261,0.0473436338097992
252,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.1183715351402574,0.6385737439222042,0.2853135504617523,0.1474739581631104,0.1669420153214948,0.1208272547841757
253,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.1292716127620571,0.6442463533225283,0.3102451264431859,0.1809735136811287,0.2035838756062489,0.1644700913823861
254,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.2411333344166827,0.660453808752026,0.3132536833573984,0.1046896946617185,0.1390227482106157,0.0721203489407157
255,compas_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.453225306608548,0.5413290113452188,0.1983236920220531,0.0703127068714418,0.0881037047366708,0.0975961538461538
256,compas_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.5475901743939593,0.653160453808752,0.2968716981512756,0.1055702794147926,0.1218319411722709,0.0833887043189368
257,compas_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.5438155089297967,0.6110210696920584,0.2350976802291071,0.1005645165319018,0.1180760368663594,0.0672055607622617
258,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.3570471235962307,0.8288557213930349,0.4976478352896915,0.087663539281229,0.1406007116934607,0.1235643304786397
259,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.4243266592909779,0.8416804864566059,0.5386003560570845,0.1142736967661065,0.1622650594133906,0.1696853516657852
260,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.3540258732305621,0.8263128800442233,0.4771081363336514,0.0820955652283923,0.121932178443613,0.1230822631030892
261,adult_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.7553535349937737,0.7583195135433941,0.0849128632928595,0.0037900969484026,0.0029659785496204,0.0075801938968052
262,adult_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.7532338308457711,0.7532338308457711,0.0,0.0,0.0,0.0
263,adult_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.7506909894969597,0.7506909894969597,-0.0060580075992879,0.0001934235976789,0.0003423485107839,0.0
264,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.3917545741413715,0.8948835683830764,0.4212213019096356,0.0220711438299301,0.0294667277682641,0.027674491215123
265,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.338107374040328,0.8943916038045261,0.4371211650046095,0.0990137909642814,0.0786783624110231,0.1605019815059445
266,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.3180656423980156,0.8935716628402754,0.4237743990501685,0.0677130848259601,0.0790981979836469,0.1057087566521529
267,bank_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.7957288307631594,0.8911118399475237,0.4355227059799045,0.0741447987955719,0.0953830091843643,0.1033685268979386
268,bank_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.8881082534930799,0.895703509347327,0.4044852371954288,0.0075952558542471,0.0191273771868549,0.0067185289957567
269,bank_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.8863415366050799,0.8904558871761233,0.4138128461503712,0.0085474633714729,0.0356875135669665,0.0041143505710434
270,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.1411010435207527,0.6628849270664505,0.3028416763450349,0.1352583931855724,0.1617406328242822,0.0982339197361187
271,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.1033893303362287,0.5640194489465153,0.1324170830642801,0.0290277527280513,0.0322213673499325,0.0032885163843781
272,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.2223251035902238,0.6782820097244733,0.3489317336401304,0.163887779580006,0.2013070866600788,0.1266066300499065
273,compas_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.4952265735503501,0.6645056726094003,0.3226619211050632,0.1491087556361048,0.1692790990590501,0.0899257406986435
274,compas_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.4918417176956858,0.6539708265802269,0.3183251700673457,0.162129108884541,0.1872766597705473,0.1029454476259151
275,compas_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.4313543458855594,0.6304700162074555,0.2836045491235334,0.2049101386839832,0.2204755326110666,0.199115670321896
276,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.3117185699628083,0.824212271973466,0.5630697519950781,0.1210480077136807,0.2513511820322698,0.0998662079510702
277,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.443156141859085,0.8361525704809287,0.5273258673863742,0.0841697255272891,0.1558473625140291,0.1088452645418688
278,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.4232890216063052,0.8283029297954672,0.507218379577654,0.0747947987172464,0.1539960523882649,0.0839293579713488
279,adult_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.7567716970702045,0.7567716970702045,0.0,0.0,0.0,0.0
